UNIX time 	 watts
1335172647 	00102
1335172653 	00103
1335172659 	00102
1335172665 	00102
1335172671 	00103
1335172677 	00102
1335172683 	00102
1335172689 	00102
1335172695 	00102
1335172702 	00102
1335172708 	00104
1335172714 	00102
1335172720 	00102
1335172726 	00102
1335172738 	00102
1335172744 	00102
1335172750 	00103
1335172756 	00101
1335172762 	00102
1335172768 	00102
1335172774 	00102
1335172780 	00102
1335172786 	00103
1335172792 	00103
1335172798 	00103
1335172805 	00103
1335172811 	00102
1335172817 	00101
1335172823 	00102
1335172829 	00102
1335172841 	00102
1335172847 	00102
1335172853 	00102
1335172859 	00103
1335172865 	00102
1335172871 	00102
1335172877 	00102
1335172883 	00103
1335172889 	00101
1335172895 	00102
1335172901 	00102
1335172908 	00102
1335172914 	00102
1335172920 	00101
1335172926 	00102
1335172932 	00103
1335172944 	00127
1335172950 	00128
1335172956 	00128
1335172962 	00128
1335172968 	00128
1335172974 	00128
1335172980 	00129
1335172986 	00129
1335172992 	00128
1335172998 	00129
1335173004 	00128
1335173011 	00128
1335173017 	00129
1335173023 	00129
1335173029 	00128
1335173035 	00128
1335173047 	00129
1335173053 	00128
1335173059 	00128
1335173065 	00129
1335173071 	00128
1335173077 	00128
1335173083 	00129
1335173089 	00127
1335173095 	00129
1335173101 	00128
1335173107 	00130
1335173114 	00130
1335173120 	00129
1335173126 	00102
1335173132 	00103
1335173138 	00102
1335173150 	00103
1335173156 	00104
1335173162 	00103
1335173168 	00104
1335173174 	00103
1335173180 	00103
1335173186 	00103
1335173192 	00103
1335173204 	00103
1335173210 	00104
1335173217 	00102
1335173223 	00103
1335173229 	00102
1335173235 	00102
1335173241 	00103
1335173247 	00102
1335173253 	00103
1335173259 	00102
1335173265 	00102
1335173271 	00103
1335173277 	00102
1335173283 	00103
1335173289 	00103
1335173301 	00103
1335173307 	00103
1335173313 	00103
1335173320 	00102
1335173326 	00197
1335173332 	00166
1335173338 	00166
1335173344 	00165
1335173350 	00163
1335173356 	00163
1335173362 	00160
1335173368 	00161
1335173374 	00160
1335173380 	00159
1335173386 	00156
1335173392 	00156
1335173404 	00156
1335173410 	00155
1335173416 	00154
1335173423 	00156
1335173429 	00158
1335173435 	00157
1335173441 	00156
1335173447 	00155
1335173453 	00157
1335173459 	00158
1335173465 	00155
1335173471 	00158
1335173477 	00159
1335173483 	00157
1335173489 	00159
1335173495 	00158
1335173501 	00157
1335173507 	00156
1335173513 	00159
1335173519 	00158
1335173526 	00157
1335173532 	00159
1335173538 	00158
1335173544 	00157
1335173556 	00158
1335173562 	00157
1335173568 	00159
1335173574 	00158
1335173580 	00156
1335173586 	00157
1335173592 	00158
1335173598 	00156
1335173604 	00155
1335173610 	00189
1335173616 	00189
1335173622 	00188
1335173629 	00189
1335173635 	00190
1335173641 	00188
1335173647 	00188
1335173659 	00189
1335173665 	00189
1335173671 	00188
1335173677 	00189
1335173683 	00189
1335173689 	00189
1335173695 	00188
1335173701 	00187
1335173707 	00187
1335173713 	00188
1335173719 	00189
1335173725 	00188
1335173732 	00187
1335173738 	00186
1335173744 	00187
1335173750 	00187
1335173756 	00187
1335173762 	00186
1335173768 	00187
1335173774 	00187
1335173780 	00186
1335173786 	00154
1335173792 	00153
1335173798 	00154
1335173810 	00157
1335173816 	00156
1335173822 	00156
1335173828 	00154
1335173835 	00153
1335173841 	00153
1335173847 	00153
1335173853 	00153
1335173859 	00154
1335173865 	00154
1335173871 	00155
1335173877 	00154
1335173883 	00154
1335173889 	00155
1335173895 	00154
1335173901 	00153
1335173907 	00154
1335173913 	00153
1335173919 	00153
1335173925 	00153
1335173931 	00152
1335173938 	00102
1335173944 	00102
1335173950 	00102
1335173962 	00103
1335173968 	00102
1335173974 	00103
1335173980 	00102
1335173986 	00103
1335173992 	00102
1335173998 	00102
1335174010 	00102
1335174016 	00102
1335174022 	00103
1335174028 	00103
1335174035 	00102
1335174041 	00103
1335174047 	00103
1335174053 	00102
1335174059 	00103
1335174065 	00102
1335174071 	00102
1335174077 	00102
1335174083 	00102
1335174089 	00101
1335174095 	00101
1335174101 	00102
1335174113 	00102
1335174119 	00101
1335174125 	00101
1335174131 	00102
1335174138 	00101
1335174144 	00101
1335174150 	00101
1335174162 	00102
1335174168 	00102
1335174174 	00101
1335174180 	00102
1335174186 	00103
1335174192 	00102
1335174198 	00103
1335174204 	00103
1335174210 	00102
1335174216 	00103
1335174222 	00102
1335174228 	00102
1335174234 	00102
1335174241 	00102
1335174247 	00103
1335174253 	00103
1335174259 	00102
1335174265 	00102
1335174271 	00104
1335174277 	00102
1335174283 	00104
1335174289 	00103
1335174295 	00103
1335174301 	00104
1335174313 	00103
1335174319 	00102
1335174325 	00103
1335174331 	00103
1335174337 	00103
1335174344 	00103
1335174350 	00103
1335174356 	00102
1335174362 	00102
1335174368 	00103
1335174374 	00102
1335174380 	00102
1335174386 	00102
1335174392 	00102
1335174398 	00103
1335174410 	00103
1335174416 	00102
1335174422 	00102
1335174428 	00103
1335174434 	00102
1335174441 	00102
1335174447 	00102
1335174453 	00102
1335174465 	00102
1335174471 	00103
1335174477 	00103
1335174483 	00103
1335174489 	00103
1335174495 	00102
1335174501 	00128
1335174507 	00128
1335174513 	00128
1335174519 	00128
1335174525 	00128
1335174532 	00682
1335174538 	00193
1335174544 	00193
1335174550 	00190
1335174556 	00190
1335174562 	00190
1335174568 	00189
1335174586 	00189
1335174592 	00189
1335174598 	00191
1335174604 	00190
1335174611 	00187
1335174617 	00187
1335174623 	00187
1335174629 	00185
1335174635 	00184
1335174641 	00182
1335174647 	00182
1335174653 	00183
1335174659 	00183
1335174665 	00185
1335174671 	00152
1335174677 	00153
1335174683 	00154
1335174689 	00153
1335174695 	00157
1335174701 	00154
1335174707 	00155
1335174714 	00154
1335174720 	00155
1335174732 	00156
1335174738 	00155
1335174744 	00157
1335174750 	00157
1335174756 	00155
1335174762 	00158
1335174768 	00158
1335174780 	00159
1335174786 	00158
1335174792 	00157
1335174798 	00159
1335174804 	00158
1335174811 	00159
1335174817 	00158
1335174823 	00157
1335174829 	00159
1335174835 	00158
1335174841 	00158
1335174847 	00158
1335174853 	00159
1335174859 	00159
1335174865 	00159
1335174871 	00159
1335174877 	00158
1335174883 	00159
1335174889 	00159
1335174895 	00159
1335174901 	00158
1335174907 	00159
1335174914 	00157
1335174920 	00158
1335174926 	00160
1335174932 	00159
1335174938 	00159
1335174944 	00156
1335174950 	00159
1335174956 	00157
1335174962 	00158
1335174968 	00158
1335174980 	00158
1335174986 	00157
1335174992 	00157
1335174998 	00159
1335175004 	00157
1335175010 	00157
1335175017 	00158
1335175029 	00157
1335175035 	00158
1335175041 	00156
1335175047 	00157
1335175053 	00158
1335175059 	00156
1335175065 	00156
1335175077 	00157
1335175089 	00155
1335175095 	00156
1335175101 	00157
1335175107 	00155
1335175114 	00154
1335175120 	00156
1335175126 	00157
1335175132 	00156
1335175138 	00154
1335175144 	00155
1335175156 	00156
1335175162 	00155
1335175168 	00156
1335175174 	00157
1335175186 	00156
1335175192 	00155
1335175198 	00155
1335175204 	00156
1335175210 	00155
1335175217 	00154
1335175223 	00155
1335175229 	00157
1335175235 	00157
1335175241 	00155
1335175247 	00154
1335175253 	00155
1335175259 	00156
1335175265 	00155
1335175277 	00155
1335175283 	00154
1335175289 	00154
1335175295 	00154
1335175301 	00154
1335175307 	00155
1335175326 	00155
1335175332 	00155
1335175338 	00154
1335175344 	00153
1335175350 	00154
1335175356 	00155
1335175362 	00156
1335175368 	00154
1335175374 	00153
1335175380 	00156
1335175386 	00154
1335175392 	00155
1335175398 	00155
1335175404 	00155
1335175410 	00155
1335175417 	00155
1335175423 	00154
1335175429 	00156
1335175435 	00155
1335175441 	00154
1335175447 	00153
1335175453 	00154
1335175459 	00156
1335175465 	00155
1335175471 	00153
1335175477 	00153
1335175483 	00155
1335175489 	00155
1335175495 	00154
1335175501 	00154
1335175507 	00156
1335175514 	00155
1335175520 	00153
1335175526 	00154
1335175532 	00158
1335175538 	00156
1335175544 	00158
1335175550 	00157
1335175556 	00158
1335175562 	00158
1335175574 	00159
1335175580 	00159
1335175586 	00158
1335175592 	00159
1335175598 	00158
1335175604 	00190
1335175611 	00189
1335175623 	00189
1335175629 	00191
1335175635 	00189
1335175641 	00190
1335175647 	00189
1335175653 	00189
1335175659 	00190
1335175671 	00190
1335175677 	00189
1335175683 	00189
1335175689 	00189
1335175695 	00188
1335175701 	00188
1335175707 	00189
1335175714 	00188
1335175720 	00187
1335175726 	00189
1335175732 	00187
1335175738 	00187
1335175744 	00188
1335175750 	00188
1335175756 	00186
1335175762 	00154
1335175768 	00156
1335175774 	00154
1335175780 	00153
1335175786 	00154
1335175792 	00103
1335175798 	00102
1335175804 	00103
1335175811 	00102
1335175817 	00102
1335175823 	00103
1335175829 	00103
1335175835 	00102
1335175841 	00103
1335175847 	00103
1335175853 	00103
1335175859 	00103
1335175865 	00102
1335175871 	00103
1335175877 	00103
1335175883 	00103
1335175889 	00103
1335175895 	00103
1335175901 	00103
1335175907 	00103
1335175920 	00103
1335175926 	00103
1335175932 	00102
1335175938 	00103
1335175944 	00103
1335175950 	00103
1335175956 	00103
1335175968 	00102
1335175974 	00103
1335175980 	00103
1335175992 	00103
1335175998 	00103
1335176004 	00103
1335176017 	00103
1335176023 	00103
1335176029 	00102
1335176035 	00103
1335176041 	00103
1335176047 	00103
1335176053 	00102
1335176065 	00103
1335176071 	00103
1335176077 	00103
1335176083 	00103
1335176089 	00103
1335176095 	00103
1335176101 	00103
1335176114 	00102
1335176120 	00103
1335176126 	00102
1335176132 	00103
1335176138 	00103
1335176144 	00102
1335176150 	00103
1335176156 	00102
1335176162 	00102
1335176168 	00102
1335176174 	00103
1335176180 	00103
1335176186 	00103
1335176192 	00103
1335176198 	00103
1335176204 	00103
1335176211 	00102
1335176217 	00103
1335176223 	00103
1335176229 	00103
1335176235 	00102
1335176241 	00103
1335176247 	00103
1335176253 	00102
1335176259 	00102
1335176265 	00102
1335176271 	00103
1335176277 	00102
1335176283 	00103
1335176289 	00103
1335176295 	00103
1335176301 	00103
1335176308 	00103
1335176314 	00103
1335176320 	00102
1335176326 	00103
1335176332 	00103
1335176338 	00103
1335176344 	00103
1335176350 	00102
1335176356 	00103
1335176362 	00103
1335176368 	00104
1335176374 	00103
1335176380 	00104
1335176386 	00102
1335176392 	00103
1335176398 	00102
1335176405 	00103
1335176411 	00103
1335176417 	00103
1335176423 	00103
1335176429 	00103
1335176435 	00102
1335176441 	00103
1335176447 	00103
1335176453 	00103
1335176459 	00104
1335176465 	00103
1335176471 	00129
1335176477 	00129
1335176483 	00129
1335176489 	00129
1335176495 	00128
1335176501 	00128
1335176508 	00129
1335176514 	00129
1335176520 	00128
1335176526 	00129
1335176532 	00130
1335176538 	00129
1335176544 	00128
1335176556 	00129
1335176562 	00129
1335176568 	00128
1335176574 	00129
1335176580 	00129
1335176586 	00128
1335176592 	00129
1335176605 	00128
1335176611 	00129
1335176617 	00128
1335176629 	00128
1335176635 	00128
1335176641 	00103
1335176653 	00103
1335176659 	00102
1335176665 	00103
1335176671 	00103
1335176677 	00103
1335176683 	00103
1335176689 	00103
1335176702 	00102
1335176708 	00103
1335176714 	00103
1335176720 	00103
1335176726 	00103
1335176732 	00103
1335176738 	00108
1335176750 	00102
1335176756 	00103
1335176762 	00102
1335176768 	00103
1335176774 	00103
1335176780 	00102
1335176786 	00103
1335176799 	00103
1335176805 	00103
1335176811 	00103
1335176817 	00103
1335176823 	00103
1335176829 	00103
1335176835 	00102
1335176847 	00102
1335176853 	00103
1335176859 	00103
1335176865 	00103
1335176871 	00102
1335176877 	00103
1335176883 	00103
1335176895 	00102
1335176902 	00103
1335176908 	00103
1335176914 	00102
1335176920 	00103
1335176926 	00103
1335176932 	00103
1335176944 	00103
1335176950 	00103
1335176956 	00103
1335176962 	00102
1335176968 	00103
1335176974 	00103
1335176980 	00103
1335176992 	00102
1335176999 	00103
1335177005 	00102
1335177011 	00103
1335177017 	00103
1335177023 	00103
1335177029 	00103
1335177041 	00102
1335177047 	00104
1335177053 	00103
1335177059 	00103
1335177065 	00103
1335177071 	00103
1335177077 	00103
1335177089 	00103
1335177096 	00102
1335177102 	00103
1335177108 	00102
1335177114 	00103
1335177120 	00103
1335177126 	00102
1335177138 	00102
1335177144 	00102
1335177150 	00103
1335177156 	00103
1335177162 	00104
1335177168 	00102
1335177174 	00103
1335177186 	00102
1335177193 	00103
1335177199 	00103
1335177205 	00103
1335177211 	00102
1335177217 	00103
1335177223 	00102
1335177229 	00103
1335177235 	00103
1335177241 	00103
1335177247 	00103
1335177253 	00103
1335177259 	00103
1335177265 	00103
1335177271 	00103
1335177277 	00103
1335177283 	00102
1335177290 	00103
1335177296 	00102
1335177302 	00103
1335177308 	00102
1335177314 	00102
1335177320 	00102
1335177326 	00102
1335177332 	00103
1335177338 	00102
1335177344 	00103
1335177350 	00103
1335177356 	00103
1335177362 	00102
1335177368 	00102
1335177374 	00102
1335177380 	00102
1335177387 	00102
1335177393 	00102
1335177399 	00103
1335177405 	00103
1335177411 	00102
1335177417 	00103
1335177423 	00103
1335177429 	00103
1335177435 	00103
1335177441 	00102
1335177447 	00103
1335177453 	00102
1335177459 	00102
1335177465 	00103
1335177471 	00103
1335177477 	00103
1335177484 	00103
1335177490 	00103
1335177496 	00102
1335177502 	00103
1335177508 	00103
1335177514 	00102
1335177526 	00102
1335177532 	00102
1335177538 	00103
1335177544 	00102
1335177550 	00102
1335177556 	00103
1335177568 	00102
1335177574 	00103
1335177581 	00102
1335177587 	00103
1335177593 	00103
1335177599 	00102
1335177605 	00103
1335177617 	00103
1335177623 	00102
1335177635 	00102
1335177641 	00103
1335177647 	00102
1335177653 	00103
1335177665 	00102
1335177671 	00102
1335177678 	00103
1335177684 	00102
1335177690 	00103
1335177696 	00103
1335177702 	00103
1335177714 	00103
1335177720 	00103
1335177726 	00102
1335177732 	00103
1335177738 	00103
1335177744 	00103
1335177756 	00102
1335177762 	00103
1335177768 	00103
1335177775 	00102
1335177781 	00103
1335177787 	00103
1335177793 	00103
1335177799 	00102
1335177805 	00102
1335177811 	00103
1335177817 	00102
1335177823 	00103
1335177829 	00103
1335177835 	00103
1335177841 	00103
1335177847 	00103
