UNIX time 	 watts
1330253146 	00234
1330253152 	00231
1330253158 	00232
1330253164 	00232
1330253170 	00231
1330253177 	00324
1330253183 	00308
1330253189 	00306
1330253201 	00307
1330253207 	00309
1330253213 	00304
1330253219 	00304
1330253225 	00311
1330253231 	00307
1330253237 	00302
1330253243 	00300
1330253255 	00302
1330253261 	00299
1330253267 	00299
1330253273 	00299
1330253280 	00296
1330253292 	00298
1330253298 	00306
1330253304 	00307
1330253310 	00307
1330253316 	00301
1330253322 	00301
1330253328 	00304
1330253334 	00300
1330253340 	00301
1330253346 	00300
1330253352 	00302
1330253358 	00303
1330253364 	00299
1330253370 	00300
1330253376 	00302
1330253382 	00308
1330253389 	00313
1330253401 	00300
1330253413 	00302
1330253419 	00307
1330253425 	00303
1330253431 	00301
1330253437 	00307
1330253443 	00303
1330253449 	00304
1330253455 	00306
1330253467 	00307
1330253473 	00312
1330253479 	00306
1330253485 	00304
1330253491 	00302
1330253498 	00307
1330253504 	00307
1330253510 	00303
1330253516 	00303
1330253522 	00302
1330253528 	00303
1330253534 	00304
1330253540 	00308
1330253546 	00304
1330253552 	00303
1330253558 	00304
1330253564 	00302
1330253570 	00301
1330253576 	00308
1330253582 	00301
1330253588 	00307
1330253594 	00311
1330253601 	00303
1330253607 	00307
1330253613 	00310
1330253619 	00310
1330253625 	00303
1330253631 	00306
1330253637 	00306
1330253643 	00302
1330253649 	00301
1330253655 	00302
1330253661 	00303
1330253667 	00302
1330253679 	00301
1330253685 	00300
1330253691 	00303
1330253697 	00304
1330253703 	00301
1330253710 	00302
1330253716 	00302
1330253722 	00301
1330253734 	00303
1330253740 	00303
1330253746 	00306
1330253752 	00303
1330253758 	00304
1330253764 	00302
1330253770 	00304
1330253776 	00301
1330253788 	00300
1330253794 	00300
1330253800 	00303
1330253806 	00300
1330253812 	00302
1330253819 	00300
1330253831 	00300
1330253843 	00304
1330253849 	00299
1330253855 	00302
1330253861 	00303
1330253867 	00300
1330253873 	00301
1330253879 	00307
1330253885 	00301
1330253897 	00304
1330253903 	00308
1330253909 	00306
1330253915 	00308
1330253921 	00303
1330253927 	00302
1330253934 	00302
1330253940 	00299
1330253952 	00301
1330253958 	00302
1330253964 	00304
1330253970 	00303
1330253976 	00302
1330253982 	00300
1330253988 	00300
1330253994 	00299
1330254006 	00302
1330254012 	00301
1330254018 	00300
1330254024 	00300
1330254030 	00300
1330254036 	00300
1330254043 	00302
1330254061 	00301
1330254073 	00301
1330254079 	00301
1330254085 	00306
1330254091 	00300
1330254097 	00302
1330254103 	00301
1330254115 	00303
1330254121 	00301
1330254127 	00302
1330254133 	00300
1330254139 	00301
1330254145 	00307
1330254152 	00302
1330254158 	00303
1330254170 	00304
1330254176 	00306
1330254182 	00304
1330254188 	00310
1330254194 	00304
1330254200 	00308
1330254206 	00311
1330254212 	00311
1330254224 	00307
1330254230 	00304
1330254236 	00307
1330254242 	00307
1330254248 	00304
1330254254 	00306
1330254261 	00306
1330254279 	00304
1330254285 	00310
1330254291 	00311
1330254297 	00303
1330254303 	00303
1330254309 	00302
1330254315 	00308
1330254321 	00303
1330254333 	00313
1330254339 	00303
1330254345 	00303
1330254351 	00301
1330254357 	00302
1330254363 	00301
1330254369 	00301
1330254376 	00302
1330254388 	00301
1330254394 	00301
1330254400 	00303
1330254406 	00301
1330254412 	00302
1330254418 	00301
1330254424 	00303
1330254430 	00307
1330254436 	00304
1330254442 	00300
1330254448 	00241
1330254454 	00233
1330254460 	00236
1330254466 	00229
1330254472 	00231
1330254478 	00231
1330254485 	00232
1330254491 	00230
1330254497 	00230
1330254503 	00234
1330254509 	00233
1330254515 	00236
1330254521 	00232
1330254527 	00231
1330254533 	00231
1330254539 	00235
1330254545 	00233
1330254557 	00235
1330254563 	00233
1330254569 	00239
1330254575 	00232
1330254587 	00236
1330254593 	00230
1330254600 	00232
1330254606 	00232
1330254612 	00232
1330254618 	00234
1330254624 	00232
1330254630 	00233
1330254636 	00234
1330254642 	00232
1330254648 	00231
1330254654 	00231
1330254660 	00233
1330254672 	00235
1330254678 	00230
1330254684 	00230
1330254696 	00234
1330254702 	00232
1330254708 	00233
1330254714 	00232
1330254721 	00233
1330254727 	00234
1330254733 	00232
1330254739 	00231
1330254745 	00232
1330254751 	00231
1330254757 	00233
1330254763 	00232
1330254775 	00232
1330254787 	00234
1330254793 	00233
1330254799 	00240
1330254805 	00238
1330254811 	00238
1330254817 	00240
1330254823 	00242
1330254829 	00241
1330254836 	00241
1330254842 	00244
1330254848 	00232
1330254854 	00231
1330254860 	00233
1330254866 	00235
1330254872 	00233
1330254878 	00233
1330254884 	00232
1330254890 	00233
1330254902 	00232
1330254908 	00232
1330254914 	00232
1330254920 	00233
1330254926 	00232
1330254938 	00233
1330254944 	00232
1330254951 	00233
1330254963 	00233
1330254969 	00233
1330254975 	00232
1330254981 	00233
1330254987 	00233
1330254993 	00245
1330254999 	00234
1330255005 	00233
1330255011 	00235
1330255017 	00235
1330255023 	00234
1330255029 	00232
1330255035 	00479
1330255041 	00478
1330255047 	00476
1330255053 	00490
1330255059 	00477
1330255065 	00480
1330255078 	00478
1330255084 	00492
1330255090 	00233
1330255096 	00232
1330255108 	00280
1330255114 	00283
1330255120 	00280
1330255126 	00286
1330255132 	00283
1330255138 	00284
1330255144 	00278
1330255150 	00277
1330255156 	00279
1330255162 	00279
1330255168 	00278
1330255174 	00280
1330255180 	00278
1330255193 	00278
1330255199 	00281
1330255205 	00278
1330255211 	00285
1330255217 	00283
1330255223 	00283
1330255229 	00284
1330255235 	00279
1330255241 	00278
1330255253 	00283
1330255259 	00278
1330255265 	00279
1330255271 	00279
1330255277 	00278
1330255283 	00279
1330255289 	00279
1330255295 	00278
1330255301 	00278
1330255308 	00278
1330255314 	00278
1330255320 	00278
1330255326 	00280
1330255332 	00277
1330255338 	00278
1330255344 	00278
1330255350 	00278
1330255356 	00278
1330255362 	00279
1330255368 	00278
1330255374 	00278
1330255380 	00280
1330255386 	00279
1330255392 	00277
1330255398 	00278
1330255404 	00284
1330255416 	00280
1330255422 	00279
1330255429 	00277
1330255435 	00279
1330255441 	00277
1330255447 	00278
1330255453 	00278
1330255459 	00277
1330255465 	00278
1330255471 	00280
1330255477 	00277
1330255489 	00283
1330255495 	00278
1330255501 	00277
1330255507 	00277
1330255513 	00278
1330255519 	00289
1330255525 	00279
1330255531 	00278
1330255537 	00284
1330255550 	00276
1330255556 	00279
1330255562 	00275
1330255568 	00277
1330255574 	00276
1330255580 	00276
1330255586 	00280
1330255592 	00276
1330255598 	00279
1330255610 	00286
1330255616 	00277
1330255622 	00287
1330255628 	00279
1330255634 	00278
1330255640 	00279
1330255646 	00279
1330255652 	00278
1330255658 	00278
1330255677 	00286
1330255683 	00280
1330255689 	00278
1330255695 	00291
1330255701 	00278
1330255707 	00277
1330255713 	00288
1330255719 	00281
1330255731 	00274
1330255737 	00280
1330255743 	00280
1330255749 	00277
1330255755 	00277
1330255761 	00277
1330255767 	00280
1330255773 	00287
1330255779 	00283
1330255792 	00284
1330255798 	00288
1330255804 	00280
1330255810 	00277
1330255816 	00277
1330255822 	00277
1330255828 	00279
1330255834 	00280
1330255840 	00277
1330255852 	00280
1330255858 	00276
1330255864 	00278
1330255870 	00281
1330255876 	00277
1330255882 	00278
1330255888 	00276
1330255894 	00276
1330255900 	00277
1330255913 	00277
1330255919 	00276
1330255925 	00275
1330255931 	00278
1330255937 	00279
1330255943 	00278
1330255949 	00278
1330255955 	00277
1330255961 	00275
1330255973 	00277
1330255979 	00277
1330255985 	00277
1330255991 	00277
1330255997 	00276
1330256009 	00279
1330256015 	00281
1330256021 	00279
1330256033 	00277
1330256040 	00278
1330256046 	00278
1330256052 	00278
1330256058 	00278
1330256064 	00278
1330256070 	00277
1330256076 	00278
1330256082 	00277
1330256094 	00276
1330256100 	00276
1330256106 	00280
1330256112 	00277
1330256118 	00279
1330256124 	00280
1330256136 	00277
1330256142 	00276
1330256148 	00275
1330256154 	00276
1330256161 	00276
1330256167 	00276
1330256173 	00275
1330256179 	00276
1330256185 	00276
1330256191 	00277
1330256197 	00275
1330256203 	00276
1330256209 	00278
1330256215 	00277
1330256227 	00278
1330256233 	00276
1330256239 	00281
1330256245 	00276
1330256251 	00276
1330256257 	00275
1330256263 	00275
