UNIX time 	 sensor 	 watts
1340211839 	0 	00347
1340211840 	1 	00000
1340211842 	3 	00022
1340211845 	0 	00347
1340211847 	2 	00079
1340211848 	3 	00023
1340211851 	0 	00348
1340211852 	1 	00000
1340211853 	2 	00080
1340211854 	3 	00023
1340211858 	0 	00348
1340211858 	1 	00000
1340211859 	2 	00079
1340211860 	3 	00030
1340211864 	0 	00344
1340211864 	1 	00000
1340211865 	2 	00079
1340211866 	3 	00019
1340211870 	0 	00345
1340211871 	1 	00000
1340211871 	2 	00080
1340211872 	3 	00019
1340211876 	0 	00347
1340211877 	1 	00000
1340211877 	2 	00080
1340211879 	3 	00021
1340211882 	0 	00349
1340211883 	1 	00000
1340211883 	2 	00080
1340211885 	3 	00023
1340211889 	1 	00000
1340211890 	2 	00079
1340211891 	3 	00022
1340211895 	0 	00348
1340211895 	1 	00000
1340211896 	2 	00079
1340211897 	3 	00022
1340211901 	0 	00346
1340211902 	2 	00079
1340211903 	3 	00026
1340211907 	0 	00345
1340211908 	1 	00000
1340211908 	2 	00079
1340211909 	3 	00024
1340211913 	0 	00355
1340211914 	1 	00000
1340211915 	3 	00026
1340211920 	2 	00079
1340211921 	3 	00023
1340211926 	1 	00000
1340211926 	0 	00343
1340211926 	2 	00079
1340211927 	3 	00021
1340211932 	1 	00000
1340211932 	0 	00344
1340211932 	2 	00079
1340211938 	1 	00000
1340211938 	0 	00343
1340211939 	2 	00079
1340211940 	3 	00026
1340211944 	1 	00000
1340211944 	0 	00346
1340211945 	2 	00079
1340211946 	3 	00021
1340211950 	1 	00000
1340211950 	0 	00344
1340211951 	2 	00079
1340211956 	0 	00344
1340211958 	3 	00019
1340211962 	1 	00000
1340211962 	0 	00344
1340211963 	2 	00079
1340211964 	3 	00021
1340211968 	1 	00000
1340211969 	0 	00344
1340211969 	2 	00078
1340211970 	3 	00019
1340211974 	1 	00000
1340211975 	0 	00345
1340211975 	2 	00079
1340211981 	1 	00000
1340211981 	0 	00343
1340211982 	2 	00079
1340211983 	3 	00021
1340211987 	1 	00000
1340211987 	0 	00343
1340211988 	2 	00078
1340211989 	3 	00020
1340211993 	1 	00000
1340211993 	0 	00344
1340211995 	3 	00021
1340211999 	1 	00000
1340211999 	0 	00348
1340212000 	2 	00078
1340212001 	3 	00021
1340212005 	1 	00000
1340212006 	0 	00342
1340212006 	2 	00079
1340212007 	3 	00022
1340212011 	1 	00000
1340212012 	0 	00343
1340212012 	2 	00078
1340212013 	3 	00020
1340212017 	1 	00000
1340212018 	0 	00354
1340212019 	3 	00026
1340212023 	1 	00000
1340212025 	3 	00020
1340212029 	1 	00000
1340212030 	2 	00078
1340212030 	0 	00343
1340212033 	3 	00022
1340212036 	1 	00000
1340212036 	2 	00078
1340212037 	0 	00351
1340212042 	1 	00000
1340212043 	2 	00079
1340212043 	0 	00344
1340212044 	3 	00019
1340212048 	1 	00000
1340212049 	0 	00344
1340212050 	3 	00020
1340212054 	1 	00000
1340212056 	3 	00020
1340212060 	1 	00000
1340212061 	2 	00078
1340212061 	0 	00344
1340212062 	3 	00019
1340212066 	1 	00000
1340212067 	2 	00078
1340212067 	0 	00345
1340212068 	3 	00019
1340212072 	1 	00000
1340212073 	2 	00078
1340212073 	0 	00342
1340212074 	3 	00021
1340212078 	1 	00000
1340212079 	2 	00078
1340212080 	0 	00345
1340212080 	3 	00020
1340212084 	1 	00000
1340212085 	2 	00078
1340212086 	0 	00342
1340212087 	3 	00020
1340212090 	1 	00000
1340212092 	2 	00019
1340212093 	3 	00020
1340212097 	1 	00000
1340212098 	2 	00001
1340212098 	0 	00268
1340212099 	3 	00019
1340212103 	1 	00000
1340212104 	2 	00000
1340212104 	0 	00276
1340212105 	3 	00020
1340212109 	1 	00000
1340212110 	2 	00001
1340212111 	0 	00278
1340212111 	3 	00027
1340212115 	1 	00000
1340212116 	2 	00001
1340212117 	0 	00269
1340212117 	3 	00020
1340212121 	1 	00000
1340212122 	2 	00000
1340212123 	0 	00276
1340212124 	3 	00029
1340212127 	1 	00000
1340212128 	2 	00001
1340212129 	0 	00270
1340212133 	1 	00000
1340212134 	2 	00001
1340212136 	0 	00281
1340212139 	1 	00000
1340212140 	2 	00000
1340212142 	3 	00022
1340212142 	0 	00269
1340212145 	1 	00000
1340212147 	2 	00000
1340212148 	3 	00020
1340212148 	0 	00267
1340212152 	1 	00000
1340212153 	2 	00001
1340212154 	3 	00017
1340212154 	0 	00225
1340212158 	1 	00000
1340212159 	2 	00000
1340212160 	3 	00017
1340212160 	0 	00189
1340212164 	1 	00000
1340212165 	2 	00001
1340212170 	1 	00000
1340212172 	3 	00000
1340212173 	0 	00189
1340212176 	1 	00000
1340212177 	2 	00000
1340212178 	3 	00000
1340212179 	0 	00190
1340212182 	1 	00000
1340212183 	2 	00001
1340212184 	3 	00000
1340212185 	0 	00188
1340212188 	1 	00000
1340212189 	2 	00001
1340212191 	3 	00000
1340212194 	1 	00000
1340212197 	3 	00000
1340212197 	0 	00189
1340212200 	1 	00000
1340212202 	2 	00000
1340212203 	3 	00000
1340212204 	0 	00191
1340212208 	2 	00001
1340212209 	3 	00000
1340212210 	0 	00190
1340212213 	1 	00000
1340212214 	2 	00000
1340212215 	3 	00000
1340212216 	0 	00190
1340212219 	1 	00000
1340212220 	2 	00001
1340212221 	3 	00000
1340212222 	0 	00190
1340212225 	1 	00000
1340212226 	2 	00000
1340212227 	3 	00000
1340212228 	0 	00196
1340212231 	1 	00000
1340212232 	2 	00001
1340212233 	3 	00000
1340212234 	0 	00188
1340212237 	1 	00000
1340212238 	2 	00000
1340212239 	3 	00000
1340212240 	0 	00189
1340212243 	1 	00000
1340212245 	2 	00001
1340212246 	3 	00000
1340212247 	0 	00190
1340212249 	1 	00000
1340212251 	2 	00000
1340212252 	3 	00000
1340212253 	0 	00191
1340212255 	1 	00000
1340212257 	2 	00001
1340212258 	3 	00000
1340212259 	0 	00188
1340212263 	2 	00000
1340212264 	3 	00000
1340212265 	0 	00189
1340212268 	1 	00000
1340212269 	2 	00001
1340212271 	0 	00188
1340212274 	1 	00000
1340212275 	2 	00000
1340212276 	3 	00000
1340212277 	0 	00190
1340212284 	1 	00000
1340212286 	1 	00000
1340212287 	2 	00000
1340212288 	3 	00000
1340212290 	0 	00189
1340212292 	1 	00000
1340212293 	2 	00001
1340212295 	3 	00000
1340212296 	0 	00188
1340212298 	1 	00000
1340212300 	2 	00001
1340212301 	3 	00000
1340212304 	1 	00000
1340212306 	2 	00000
1340212307 	3 	00000
1340212308 	0 	00188
1340212310 	1 	00000
1340212312 	2 	00001
1340212313 	3 	00000
1340212315 	0 	00189
