UNIX time 	 watts
1335726649 	00876
1335726655 	00871
1335726661 	00870
1335726667 	00882
1335726679 	00807
1335726685 	00805
1335726691 	00815
1335726697 	00822
1335726703 	00819
1335726709 	00819
1335726715 	00794
1335726721 	00805
1335726727 	00819
1335726733 	00799
1335726739 	00821
1335726745 	00830
1335726751 	00805
1335726758 	00797
1335726764 	00813
1335726770 	00812
1335726776 	00800
1335726782 	00821
1335726788 	00806
1335726794 	00827
1335726800 	00820
1335726806 	00807
1335726812 	00821
1335726818 	00831
1335726824 	00793
1335726830 	00804
1335726836 	00794
1335726842 	00802
1335726848 	00796
1335726854 	00800
1335726866 	00785
1335726872 	00818
1335726878 	00795
1335726885 	00813
1335726891 	00812
1335726897 	00794
1335726903 	00811
1335726909 	00785
1335726915 	00800
1335726927 	00782
1335726933 	00784
1335726939 	00801
1335726945 	00787
1335726951 	00799
1335726957 	00810
1335726963 	00798
1335726969 	00789
1335726975 	00765
1335726981 	00791
1335726987 	00798
1335726993 	00784
1335726999 	00781
1335727006 	00798
1335727012 	00798
1335727018 	00795
1335727024 	00794
1335727030 	00795
1335727036 	00795
1335727042 	00799
1335727048 	00809
1335727054 	00789
1335727060 	00795
1335727066 	00786
1335727072 	00797
1335727078 	00789
1335727084 	00782
1335727090 	00802
1335727096 	00781
1335727102 	00794
1335727114 	00784
1335727120 	00782
1335727126 	00798
1335727133 	00821
1335727139 	00829
1335727145 	00811
1335727151 	00775
1335727157 	00782
1335727163 	00784
1335727169 	00805
1335727181 	00782
1335727187 	00805
1335727193 	00783
1335727199 	00777
1335727205 	00778
1335727211 	00813
1335727217 	00775
1335727223 	00816
1335727229 	00766
1335727247 	00796
1335727253 	00799
1335727260 	00798
1335727266 	00785
1335727272 	00806
1335727278 	00786
1335727284 	00775
1335727290 	00817
1335727302 	00801
1335727308 	00811
1335727314 	00804
1335727320 	00797
1335727326 	00797
1335727338 	00375
1335727344 	00378
1335727350 	00388
1335727356 	00383
1335727368 	00376
1335727374 	00751
1335727380 	00772
1335727387 	00752
1335727393 	00742
1335727399 	00760
1335727405 	00756
1335727411 	00752
1335727417 	00756
1335727429 	00728
1335727435 	00762
1335727447 	00751
1335727453 	00797
1335727459 	00805
1335727465 	00809
1335727471 	00821
1335727477 	00809
1335727489 	00849
1335727495 	00830
1335727501 	00812
1335727507 	00810
1335727514 	00798
1335727520 	00828
1335727526 	00822
1335727532 	00830
1335727538 	00805
1335727544 	00822
1335727556 	00818
1335727562 	00812
1335727568 	00831
1335727574 	00822
1335727580 	00816
1335727586 	00820
1335727592 	00827
1335727598 	00830
1335727604 	00818
1335727616 	00821
1335727622 	00821
1335727628 	00812
1335727634 	00823
1335727641 	00821
1335727647 	00827
1335727653 	00835
1335727659 	00815
1335727665 	00823
1335727677 	00828
1335727683 	00830
1335727689 	00817
1335727695 	00825
1335727701 	00828
1335727707 	00820
1335727713 	00819
1335727719 	00821
1335727725 	00821
1335727737 	00820
1335727743 	00831
1335727749 	00823
1335727755 	00835
1335727761 	00819
1335727768 	00816
1335727774 	00840
1335727780 	00821
1335727786 	00841
1335727792 	00840
1335727798 	00847
1335727804 	00815
1335727810 	00835
1335727816 	00811
1335727822 	00835
1335727834 	00819
1335727840 	00827
1335727846 	00821
1335727852 	00811
1335727864 	00823
1335727870 	00815
1335727876 	00836
1335727882 	00813
1335727888 	00824
1335727895 	00830
1335727901 	00830
1335727907 	00832
1335727913 	00822
1335727925 	00830
1335727931 	00856
1335727937 	00818
1335727943 	00830
1335727949 	00827
1335727955 	00811
1335727961 	00832
1335727967 	00807
1335727973 	00825
1335727979 	00815
1335727985 	00829
1335727991 	00827
1335727997 	00819
1335728003 	00830
1335728009 	00825
1335728015 	00819
1335728022 	00821
1335728028 	00829
1335728034 	00835
1335728040 	00822
1335728052 	00832
1335728058 	00811
1335728064 	00824
1335728070 	00805
1335728076 	00811
1335728082 	00455
1335728088 	00454
1335728094 	00449
1335728100 	00450
1335728106 	00451
1335728112 	00456
1335728118 	00455
1335728124 	00450
1335728130 	00448
1335728136 	00447
1335728142 	00451
1335728149 	00454
1335728155 	00476
1335728161 	00478
1335728167 	00447
1335728179 	00474
1335728185 	00478
1335728191 	00471
1335728197 	00451
1335728203 	00476
1335728209 	00477
1335728215 	00471
1335728221 	00469
1335728227 	00472
1335728233 	00467
1335728245 	00479
1335728251 	00477
1335728257 	00473
1335728263 	00481
1335728269 	00468
1335728275 	00466
1335728288 	00457
1335728294 	00474
1335728300 	00472
1335728306 	00474
1335728312 	00472
1335728318 	00473
1335728324 	00472
1335728330 	00462
1335728336 	00473
1335728342 	00467
1335728348 	00472
1335728354 	00471
1335728360 	00469
1335728372 	00467
1335728378 	00468
1335728384 	00470
1335728390 	00470
1335728396 	00459
1335728402 	00472
1335728409 	00476
1335728415 	00468
1335728421 	00465
1335728427 	00458
1335728439 	00450
1335728445 	00458
1335728451 	00468
1335728457 	00473
1335728463 	00470
1335728469 	00471
1335728475 	00471
1335728481 	00465
1335728487 	00458
1335728493 	00470
1335728505 	00482
1335728511 	00472
1335728517 	00453
1335728523 	00471
1335728529 	00456
1335728535 	00464
1335728542 	00451
1335728548 	00460
1335728554 	00470
1335728566 	00450
1335728572 	00455
1335728578 	00457
1335728584 	00456
1335728590 	00465
1335728596 	00468
1335728602 	00451
1335728608 	00468
1335728614 	00464
1335728620 	00465
1335728632 	00470
1335728638 	00461
1335728644 	00461
1335728650 	00447
1335728656 	00465
1335728662 	00436
1335728668 	00444
1335728675 	00449
1335728681 	00467
1335728687 	00446
1335728693 	00442
1335728699 	00433
1335728705 	00434
1335728711 	00436
1335728717 	00437
1335728723 	00448
1335728729 	00455
1335728735 	00464
1335728741 	00474
1335728747 	00476
1335728759 	00471
1335728765 	00478
1335728771 	00472
1335728777 	00476
1335728783 	00477
1335728789 	00472
1335728795 	00473
1335728802 	00459
1335728808 	00464
1335728814 	00476
1335728826 	00470
1335728832 	00468
1335728838 	00471
1335728844 	00470
1335728850 	00477
1335728856 	00467
1335728862 	00474
1335728868 	00471
1335728874 	00468
1335728880 	00465
1335728892 	00467
1335728898 	00460
1335728904 	00466
1335728910 	00473
1335728916 	00391
1335728922 	00393
1335728928 	00392
1335728935 	00389
1335728941 	00392
1335728947 	00388
1335728953 	00389
1335728959 	00386
1335728965 	00386
1335728971 	00388
1335728977 	00390
1335728983 	00390
1335728995 	00391
1335729001 	00399
1335729007 	00400
1335729019 	00395
1335729025 	00380
1335729031 	00379
1335729043 	00391
1335729049 	00374
1335729055 	00385
1335729061 	00376
1335729068 	00382
1335729074 	00377
1335729086 	00377
1335729092 	00390
1335729098 	00399
1335729104 	00404
1335729110 	00409
1335729116 	00402
1335729122 	00404
1335729128 	00401
1335729134 	00400
1335729140 	00387
1335729146 	00383
1335729152 	00389
1335729158 	00389
1335729164 	00398
1335729170 	00369
1335729176 	00372
1335729182 	00382
1335729188 	00392
1335729195 	00383
1335729201 	00388
1335729213 	00386
1335729219 	00398
1335729225 	00391
1335729231 	00374
1335729237 	00366
1335729243 	00395
1335729249 	00385
1335729255 	00388
1335729261 	00387
1335729267 	00390
1335729273 	00388
1335729279 	00395
1335729285 	00390
1335729291 	00383
1335729297 	00365
1335729303 	00365
1335729309 	00388
1335729315 	00383
1335729321 	00369
1335729328 	00364
1335729334 	00372
1335729340 	00357
1335729346 	00355
1335729352 	00365
1335729358 	00358
1335729364 	00368
1335729370 	00377
1335729376 	00386
1335729382 	00387
1335729388 	00381
1335729394 	00385
1335729406 	00383
1335729412 	00385
1335729418 	00383
1335729424 	00375
1335729430 	00354
1335729436 	00364
1335729442 	00386
1335729448 	00380
1335729454 	00386
1335729461 	00381
1335729473 	00381
1335729479 	00382
1335729485 	00382
1335729491 	00385
1335729497 	00386
1335729503 	00382
1335729515 	00379
1335729521 	00370
1335729527 	00380
1335729533 	00380
1335729539 	00387
1335729545 	00385
1335729551 	00385
1335729557 	00383
1335729563 	00353
1335729569 	00349
1335729575 	00358
1335729581 	00382
1335729588 	00385
1335729600 	00383
1335729606 	00385
1335729612 	00390
1335729618 	00389
1335729624 	00388
1335729630 	00386
1335729636 	00385
1335729642 	00387
1335729648 	00385
1335729654 	00386
1335729666 	00385
1335729672 	00360
1335729678 	00383
1335729684 	00381
1335729690 	00374
1335729696 	00375
1335729702 	00372
1335729708 	00380
1335729714 	00376
1335729721 	00363
1335729733 	00364
1335729739 	00366
1335729745 	00361
1335729751 	00379
1335729757 	00366
1335729763 	00381
1335729769 	00379
1335729775 	00386
1335729781 	00386
1335729787 	00386
1335729793 	00382
1335729799 	00388
1335729805 	00387
1335729811 	00383
1335729817 	00342
1335729823 	00354
1335729829 	00353
1335729835 	00352
1335729841 	00354
